movie_title,original_language,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,release_year,release_month,genres,studio
split,en,0.906,5.3,2,2017-01-20,5000000,278964806,2017,1,cross-genre,Uni.
spotlight,en,16.354,7.8,4935,2015-11-06,20000000,92088460,2015,11,cross-genre,ORF
spring breakers,en,10.691,5.0,2495,2013-03-15,5000000,31149251,2013,3,cross-genre,A24
st. vincent,en,16.379,7.1,1069,2014-10-10,13000000,54837234,2014,10,cross-genre,Wein.
stake land,en,8.799,6.2,415,2011-04-22,4000000,679482,2011,4,cross-genre,IFC
star trek beyond,en,19.142,6.7,4275,2016-07-22,185000000,335802233,2016,7,cross-genre,Par.
star trek into darkness,en,20.487,7.4,6182,2013-05-16,190000000,467381584,2013,5,cross-genre,Par.
step up revolution,en,10.925,6.8,1252,2012-07-27,33000000,165552290,2012,7,cross-genre,LG/S
steve jobs,en,8.895,6.8,2572,2015-10-09,30000000,35579007,2015,10,cross-genre,Uni.
still alice,en,10.747,7.5,1946,2015-01-16,5000000,41699612,2015,1,drama,SPC
stoker,en,10.738,6.6,1282,2013-03-01,12000000,12034913,2013,3,cross-genre,FoxS
stone,en,8.401,5.2,334,2010-10-08,22000000,4065020,2010,10,cross-genre,Over.
storks,en,12.101,6.5,1308,2016-09-23,70000000,183353431,2016,9,cross-genre,WB
straight outta compton,en,11.731,7.7,2048,2015-08-14,28000000,202182981,2015,8,cross-genre,Uni.
strangerland,en,5.91,5.2,135,2015-07-10,10000000,161097,2015,7,cross-genre,Alc
stronger,en,7.836,7.0,782,2017-09-22,30000000,8786752,2017,9,cross-genre,RAtt.
submarine,en,7.412,7.4,770,2011-06-03,1900000,4581937,2011,6,cross-genre,Wein.
sucker punch,en,14.416,6.0,2716,2011-03-25,75000000,89758389,2011,3,cross-genre,WB
suffragette,en,7.763,7.3,982,2015-10-23,14000000,34044909,2015,10,cross-genre,Focus
suicide squad,en,16.53,5.9,13533,2016-08-05,175000000,746059887,2016,8,cross-genre,WB
sully,en,18.148,7.1,3924,2016-09-09,60000000,238524556,2016,9,cross-genre,WB
super,en,11.36,6.6,726,2011-04-01,2500000,593933,2011,4,cross-genre,IFC
super 8,en,14.39,6.7,3934,2011-06-10,50000000,257972745,2011,6,cross-genre,Par.
superfly,en,12.046,6.5,130,2018-06-13,16000000,20723581,2018,6,cross-genre,Sony
suspiria,en,16.925,7.0,752,2018-10-26,20000000,7034615,2018,10,cross-genre,Amazon
swiss army man,en,10.0,6.9,1789,2016-06-24,3000000,5837111,2016,6,cross-genre,A24
table 19,en,7.551,6.0,604,2017-03-03,5000000,4620399,2017,3,cross-genre,FoxS
tag,en,1.4,4.0,1,2018-06-15,28000000,77026186,2018,6,drama,WB (NL)
take me home tonight,en,11.321,6.1,339,2011-03-04,19000000,7576604,2011,3,cross-genre,Rela.
take shelter,en,11.236,7.2,787,2011-09-30,4750000,4972016,2011,9,cross-genre,SPC
taken 2,en,16.078,6.2,4035,2012-10-05,45000000,377807404,2012,10,cross-genre,Fox
taken 3,en,27.679,6.1,3406,2015-01-09,48000000,327656424,2015,1,cross-genre,Fox
takers,en,8.969,6.2,605,2010-08-27,32000000,70587268,2010,8,cross-genre,SGem
tammy,en,10.979,5.2,735,2014-07-02,20000000,96407655,2014,7,cross-genre,WB (NL)
tangled,en,21.511,7.5,6407,2010-11-24,260000000,586477240,2010,11,cross-genre,BV
ted,en,14.475,6.3,7727,2012-06-29,50000000,556016627,2012,6,cross-genre,Uni.
ted 2,en,17.684,6.1,4227,2015-06-26,68000000,217214143,2015,6,comedy,Uni.
teen titans go! to the movies,en,16.523,7.0,304,2018-07-27,10000000,51620593,2018,7,cross-genre,WB
teenage mutant ninja turtles: out of the shadows,en,15.096,5.9,1860,2016-06-03,135000000,245328374,2016,6,cross-genre,Par.
testament of youth,en,9.251,7.4,486,2015-06-05,10000000,6646669,2015,6,cross-genre,SPC
texas chainsaw 3d,en,18.256,5.3,780,2013-01-04,20000000,47666013,2013,1,cross-genre,LGF
that awkward moment,en,8.649,6.1,1759,2014-01-31,8000000,53068955,2014,1,cross-genre,Focus
that's my boy,en,12.817,5.5,831,2012-06-15,57500000,58085235,2012,6,comedy,Sony
the 15:17 to paris,en,11.576,5.3,799,2018-02-09,30000000,56096200,2018,2,cross-genre,WB
the 33,en,9.993,6.2,565,2015-11-13,25000000,28400715,2015,11,cross-genre,WB
the 5th wave,en,12.967,5.8,3657,2016-01-22,38000000,111336398,2016,1,cross-genre,Sony
the a-team,en,17.097,6.3,2703,2010-06-11,110000000,177241171,2010,6,cross-genre,Fox
the accountant,en,13.81,6.9,3407,2016-10-14,40000000,152962083,2016,10,cross-genre,WB
the adjustment bureau,en,13.717,6.6,2615,2011-03-04,50200000,126931325,2011,3,cross-genre,Uni.
the adventures of tintin,en,11.981,6.8,3251,2011-12-21,130000000,373993951,2011,12,cross-genre,Par.
the age of adaline,en,8.559,7.4,3853,2015-04-24,30000000,68984536,2015,4,cross-genre,LGF
the amazing spider-man,en,24.391,6.5,10411,2012-07-03,220000000,757890267,2012,7,cross-genre,Sony
the amazing spider-man 2,en,20.847,6.4,7220,2014-05-02,200000000,708996336,2014,5,cross-genre,Sony
the american,en,9.042,5.8,690,2010-09-01,20000000,67950723,2010,9,cross-genre,Focus
the angry birds movie,en,17.998,6.0,1851,2016-05-20,73000000,352327887,2016,5,cross-genre,Sony
the apparition,en,7.714,4.3,221,2012-08-24,17000000,10637281,2012,8,cross-genre,WB
the art of getting by,en,8.695,6.5,752,2011-06-17,4000000,1989035,2011,6,cross-genre,FoxS
the artist,en,10.155,7.4,1787,2011-11-25,16000000,128256712,2011,11,cross-genre,Wein.
the babadook,en,11.502,6.4,3528,2014-11-28,2000000,7482387,2014,11,cross-genre,IFC
the back-up plan,en,15.49,6.0,806,2010-04-23,35000000,75281179,2010,4,cross-genre,CBS
the beaver,en,7.357,6.3,464,2011-05-06,21000000,5046038,2011,5,drama,Sum.
the best exotic marigold hotel,en,8.665,6.9,756,2012-05-04,10000000,134639780,2012,5,cross-genre,FoxS
the best man holiday,en,8.581,6.6,145,2013-11-15,17000000,72835710,2013,11,cross-genre,Uni.
the best of me,en,8.622,7.3,1512,2014-10-17,26000000,41059418,2014,10,cross-genre,Rela.
the bfg,en,20.08,6.2,1916,2016-07-01,140000000,199646680,2016,7,cross-genre,BV
the big short,en,14.327,7.3,4657,2015-12-11,28000000,133162752,2015,12,cross-genre,Par.
the big sick,en,12.322,7.4,1302,2017-06-23,5000000,53972860,2017,6,cross-genre,LGF
the big wedding,en,11.231,5.8,678,2013-04-26,32500000,48425971,2013,4,cross-genre,LGF
the big year,en,7.077,5.8,393,2011-10-14,41000000,7684524,2011,10,comedy,Fox
the book of eli,en,18.985,6.7,3495,2010-01-15,80000000,158750817,2010,1,cross-genre,WB
the book thief,en,9.034,7.5,2788,2013-11-08,19000000,76086711,2013,11,cross-genre,Fox
the boss,en,11.442,5.8,822,2016-04-08,29000000,78652207,2016,4,comedy,Uni.
the boss baby,en,7.445,6.4,4314,2017-03-31,125000000,510878762,2017,3,cross-genre,Fox
the bounty hunter,en,9.861,5.7,1627,2010-03-19,45000000,135808837,2010,3,cross-genre,Sony
the bourne legacy,en,18.05,6.1,3630,2012-08-10,125000000,280355920,2012,8,cross-genre,Uni.
the boxtrolls,en,11.219,6.7,1016,2014-09-26,60000000,111946251,2014,9,cross-genre,Focus
the boy next door,en,0.6,5.7,6,2015-01-23,4000000,53401938,2015,1,cross-genre,Uni.
the bye bye man,en,9.847,5.1,678,2017-01-13,7400000,31187727,2017,1,cross-genre,STX
the cabin in the woods,en,15.336,6.5,4185,2012-04-13,30000000,70689968,2012,4,horror,LGF
the call,en,11.315,6.7,1779,2013-03-15,12800000,69821476,2013,3,cross-genre,TriS
the campaign,en,10.266,5.7,982,2012-08-10,95000000,104907746,2012,8,comedy,WB
the canyons,en,6.937,4.3,134,2013-08-02,250000,62375,2013,8,cross-genre,IFC
the change-up,en,12.122,6.0,1406,2011-08-05,52000000,75997067,2011,8,cross-genre,Uni.
the christmas candle,en,1.4,6.0,15,2013-11-15,7000000,1933829,2013,11,cross-genre,ELS
the chronicles of narnia: the voyage of the dawn treader,en,17.382,6.3,3196,2010-12-10,155000000,418186950,2010,12,cross-genre,Fox
the cold light of day,en,8.974,5.1,463,2012-09-07,20000000,25361206,2012,9,cross-genre,LG/S
the collection,en,9.059,6.1,465,2012-11-30,10000000,8890094,2012,11,cross-genre,LD
the commuter,en,20.063,6.2,2394,2018-01-12,40000000,101985431,2018,1,cross-genre,LGF
the conjuring,en,18.886,7.5,5912,2013-07-19,20000000,318000141,2013,7,cross-genre,WB (NL)
the conspirator,en,6.493,6.5,226,2011-04-15,25000000,15907411,2011,4,cross-genre,RAtt.
the counselor,en,10.55,5.1,1072,2013-10-25,25000000,71009334,2013,10,cross-genre,Fox
the crazies,en,12.246,6.2,1036,2010-02-26,19000000,56445534,2010,2,cross-genre,Over.
the croods,en,16.29,6.8,3873,2013-03-22,135000000,573068425,2013,3,cross-genre,Fox
the d train,xx,0.6,6.0,2,2015-05-08,3000000,772366,2015,5,cross-genre,IFC
the dark knight rises,en,26.22,7.7,13933,2012-07-20,275000000,1084439099,2012,7,cross-genre,WB
the dark tower,en,15.517,5.6,2842,2017-08-04,60000000,113461527,2017,8,cross-genre,Sony
the darkest hour,en,10.73,4.9,735,2011-12-25,34800000,62831715,2011,12,cross-genre,Sum.
the darkest minds,en,23.967,6.8,1158,2018-08-03,34000000,38361428,2018,8,cross-genre,Fox
the darkness,en,8.357,4.8,347,2016-05-13,4000000,10898293,2016,5,cross-genre,BH Tilt
the debt,en,12.697,6.6,403,2011-08-31,20000000,46604054,2011,8,cross-genre,Focus
the descendants,en,10.444,6.8,1522,2011-11-16,20000000,175507800,2011,11,cross-genre,FoxS
the devil inside,en,7.403,4.7,441,2012-01-06,1000000,101759490,2012,1,horror,Par.
the devil's double,en,7.505,6.7,291,2011-07-29,19100000,5965646,2011,7,cross-genre,LGF
the diary of a teenage girl,en,9.382,6.7,460,2015-08-07,2000000,2279959,2015,8,cross-genre,SPC
the dictator,en,12.592,6.0,3042,2012-05-16,65000000,180148897,2012,5,comedy,Par.
the dilemma,en,9.518,5.3,448,2011-01-14,70000000,70546865,2011,1,cross-genre,Uni.
the disappointments room,en,6.324,4.4,272,2016-09-09,15000000,3503761,2016,9,cross-genre,Rela.
the disaster artist,en,13.27,7.2,1895,2017-12-01,10000000,28717667,2017,12,cross-genre,A24
the drop,en,14.795,6.7,1215,2014-09-12,12600000,19054534,2014,9,cross-genre,FoxS
the duff,en,9.054,6.8,2987,2015-02-20,8500000,43528634,2015,2,cross-genre,LGF
the eagle,en,8.443,6.1,694,2011-02-11,25000000,38993548,2011,2,cross-genre,Focus
the east,en,8.044,6.6,438,2013-05-31,6500000,3027956,2013,5,cross-genre,FoxS
the edge of seventeen,en,11.546,7.2,2224,2016-11-18,9000000,19096003,2016,11,cross-genre,STX
the emoji movie,en,14.88,5.4,1447,2017-07-28,50000000,216562312,2017,7,cross-genre,Sony
the equalizer,en,28.942,7.2,4989,2014-09-26,55000000,192903624,2014,9,cross-genre,Sony
the equalizer 2,en,22.961,6.4,2089,2018-07-20,77000000,190453132,2018,7,cross-genre,Sony
the expendables,en,21.517,6.1,4647,2010-08-13,82000000,268268174,2010,8,cross-genre,LGF
the expendables 2,en,17.216,6.2,4219,2012-08-17,100000000,311979256,2012,8,cross-genre,LGF
the expendables 3,en,18.797,6.1,2876,2014-08-15,100000000,209461378,2014,8,cross-genre,LGF
the extra man,en,5.056,5.9,46,2010-07-30,7000000,492108,2010,7,comedy,Magn.
the face of love,en,5.519,6.1,68,2014-03-07,4000000,1158877,2014,3,cross-genre,IFC
the fate of the furious,en,28.668,6.9,6335,2017-04-14,250000000,1234846267,2017,4,cross-genre,Uni.
the fault in our stars,en,16.03,7.6,7236,2014-06-06,12000000,307166834,2014,6,cross-genre,Fox
the favourite,en,28.651,7.7,2096,2018-11-23,15000000,94113929,2018,11,cross-genre,FoxS
the fifth estate,en,6.611,5.9,549,2013-10-18,26000000,6154172,2013,10,cross-genre,BV
the fighter,en,10.395,7.3,2325,2010-12-10,11000000,129262388,2010,12,cross-genre,Par.
the finest hours,en,12.673,6.4,943,2016-01-29,70000000,49252761,2016,1,cross-genre,BV
the first purge,en,28.44,5.8,1846,2018-07-04,13000000,136617305,2018,7,cross-genre,Uni.
the first time,en,11.25,7.0,1426,2012-10-19,2000000,17061,2012,10,cross-genre,Gold.
the five-year engagement,en,10.729,5.8,742,2012-04-27,30000000,61623819,2012,4,cross-genre,Uni.
the florida project,en,11.597,7.4,1125,2017-10-06,2000000,11295324,2017,10,drama,A24
the foreigner,en,14.616,6.7,1086,2017-10-13,35000000,140783360,2017,10,cross-genre,STX
the forest,en,1.125,2.5,1,2016-01-08,10000000,40749230,2016,1,cross-genre,Focus
the founder,en,12.349,7.0,2093,2017-01-20,15000000,24403192,2017,1,cross-genre,Wein.
the future,en,3.836,5.8,38,2011-07-29,1000000,1239174,2011,7,cross-genre,RAtt.
the gallows,en,9.166,4.8,591,2015-07-10,100000,41656474,2015,7,cross-genre,WB (NL)
the gambler,en,8.807,5.8,783,2014-12-10,25000000,38718031,2014,12,drama,Par.
the ghost writer,en,7.829,6.8,1135,2010-02-19,45000000,65532491,2010,2,cross-genre,Sum.
the girl on the train,en,1.595,5.9,25,2016-10-07,45000000,174278214,2016,10,thriller,Strand
the girl with the dragon tattoo,en,17.823,7.3,3971,2011-12-20,90000000,239373970,2011,12,cross-genre,MBox
the giver,en,8.687,6.5,3075,2014-08-15,25000000,66540205,2014,8,cross-genre,Wein.
the good dinosaur,en,17.675,6.7,3135,2015-11-25,187500000,333771037,2015,11,cross-genre,BV
the grand budapest hotel,en,18.31,8.0,8091,2014-03-07,31000000,163981261,2014,3,cross-genre,FoxS
the great wall,en,19.144,5.8,2775,2017-02-17,150000000,334486852,2017,2,cross-genre,Uni.
the greatest showman,en,22.009,8.0,5197,2017-12-20,84000000,386665550,2017,12,cross-genre,Fox
the green hornet,en,14.501,5.5,1897,2011-01-14,110000000,229155503,2011,1,cross-genre,Sony
the green inferno,en,13.67,5.2,619,2015-09-25,1000000,12931420,2015,9,cross-genre,BH Tilt
the grey,en,12.942,6.5,2280,2012-01-27,25000000,81249176,2012,1,cross-genre,ORF
the guard,en,10.177,6.9,563,2011-07-29,6000000,21197454,2011,7,cross-genre,SPC
the guilt trip,en,8.939,5.4,403,2012-12-19,40000000,41294674,2012,12,cross-genre,Par.
the gunman,en,10.388,5.7,583,2015-03-20,40000000,18594227,2015,3,cross-genre,ORF
the hangover part ii,en,32.266,6.4,6231,2011-05-26,80000000,586464305,2011,5,cross-genre,WB
the hate u give,en,19.135,8.2,636,2018-10-05,23000000,35067665,2018,10,cross-genre,Fox
the hateful eight,en,20.681,7.7,8065,2015-12-25,62000000,147864886,2015,12,cross-genre,Wein.
the heat,en,16.912,6.6,2441,2013-06-28,43000000,229727774,2013,6,cross-genre,Fox
the help,en,12.598,8.1,3944,2011-08-10,25000000,213120004,2011,8,drama,BV
the hobbit: an unexpected journey,en,26.939,7.2,12076,2012-12-14,250000000,1017003568,2012,12,cross-genre,WB (NL)
the hobbit: the battle of the five armies,en,53.783,7.3,8392,2014-12-17,250000000,945577621,2014,12,cross-genre,WB (NL)
the hobbit: the desolation of smaug,en,21.275,7.6,7739,2013-12-13,250000000,960366855,2013,12,cross-genre,WB (NL)
the homesman,en,8.232,6.5,389,2014-11-14,16000000,8217571,2014,11,cross-genre,Saban
the house,en,9.62,5.7,474,2017-06-30,40000000,31192425,2017,6,cross-genre,WB (NL)
the house with a clock in its walls,en,21.805,6.2,933,2018-09-21,40000000,126331750,2018,9,cross-genre,Uni.
the hundred-foot journey,en,8.26,7.3,785,2014-08-08,22000000,94270488,2014,8,cross-genre,BV
