movie_title,original_language,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,release_year,release_month,genres,studio
the lunchbox,hi,5.888,7.3,350,2014-02-28,1700000,12231500,2014,2,cross-genre,SPC
the man from u.n.c.l.e.,en,18.956,7.1,3525,2015-08-14,75000000,104949584,2015,8,cross-genre,WB
the man who knew infinity,en,8.76,7.2,699,2016-04-29,10000000,12382122,2016,4,cross-genre,IFC
the man with the iron fists,en,15.457,5.3,573,2012-11-02,15000000,22018988,2012,11,action,Uni.
the martian,en,22.856,7.7,12172,2015-10-02,108000000,655271443,2015,10,cross-genre,Fox
the master,en,12.829,7.1,1323,2012-09-14,37500000,50647416,2012,9,drama,Wein.
the maze runner,en,36.955,7.1,10626,2014-09-19,34000000,348319861,2014,9,cross-genre,Fox
the mechanic,en,14.387,6.3,1676,2011-01-28,42500000,76347393,2011,1,cross-genre,CBS
the meddler,en,7.725,5.8,186,2016-04-22,3200000,5526942,2016,4,cross-genre,SPC
the meg,en,31.397,5.9,2896,2018-08-10,178000000,529530715,2018,8,cross-genre,WB
the monuments men,en,12.861,5.9,2229,2014-02-07,70000000,158702748,2014,2,cross-genre,Sony
the mortal instruments: city of bones,en,16.484,6.3,2915,2013-08-21,60000000,75965567,2013,8,cross-genre,SGem
the mule,en,6.161,6.4,77,2018-12-14,50000000,170857676,2018,12,cross-genre,WB
the muppets,en,11.324,6.6,831,2011-11-23,45000000,160971922,2011,11,cross-genre,BV
the neon demon,en,11.787,6.6,2005,2016-06-24,7500000,3559803,2016,6,cross-genre,BG
the next three days,en,11.147,7.0,1469,2010-11-19,30000000,67255916,2010,11,cross-genre,LGF
the nice guys,en,13.743,7.1,4272,2016-05-20,50000000,59596747,2016,5,cross-genre,WB
the night before,en,9.014,6.1,956,2015-11-20,25000000,52427346,2015,11,cross-genre,Sony
the november man,en,17.747,6.1,852,2014-08-27,15000000,34820335,2014,8,cross-genre,Rela.
the nut job,en,10.501,5.6,529,2014-01-17,30000000,122529966,2014,1,cross-genre,ORF
the nut job 2: nutty by nature,en,8.975,5.7,227,2017-08-11,40000000,57438389,2017,8,cross-genre,ORF
the nutcracker and the four realms,en,26.235,6.0,909,2018-11-02,132900000,170293899,2018,11,cross-genre,BV
the nutcracker in 3d,en,7.566,5.5,97,2010-11-24,90000000,20466016,2010,11,cross-genre,Free
the odd life of timothy green,en,9.216,6.7,605,2012-08-15,40000000,55249159,2012,8,cross-genre,BV
the other guys,en,13.508,6.2,2187,2010-08-06,100000000,170936470,2010,8,cross-genre,Sony
the other side of the door,en,9.078,5.3,470,2016-03-04,5000000,12905107,2016,3,drama,Fox
the other woman,en,9.15,6.2,220,2014-04-25,40000000,195111193,2014,4,cross-genre,IFC
the paperboy,en,8.143,5.5,409,2012-10-05,12500000,4027663,2012,10,cross-genre,MNE
the peanuts movie,en,11.344,6.6,894,2015-11-06,99000000,250091610,2015,11,cross-genre,Fox
the perfect guy,en,6.727,5.7,211,2015-09-11,18000000,60278166,2015,9,cross-genre,SGem
the perfect match,en,6.875,5.5,78,2016-03-11,5000000,10182050,2016,3,cross-genre,LGF
the perks of being a wallflower,en,15.148,7.8,5938,2012-09-21,13000000,33069303,2012,9,drama,LG/S
the place beyond the pines,en,12.96,6.9,2781,2013-03-29,15000000,47011449,2013,3,cross-genre,Focus
the possession,en,8.978,5.9,918,2012-08-31,14000000,82925064,2012,8,cross-genre,LGF
the possession of hannah grace,en,20.263,5.1,393,2018-11-30,6000000,42785387,2018,11,cross-genre,SGem
the post,en,15.551,7.0,2506,2017-12-22,50000000,179748880,2017,12,cross-genre,Fox
the purge,en,24.364,6.2,4797,2013-06-07,3000000,91266581,2013,6,cross-genre,Uni.
the purge: anarchy,en,28.424,6.6,3754,2014-07-18,9000000,111534881,2014,7,cross-genre,Uni.
the purge: election year,en,18.975,6.3,2900,2016-07-01,10000000,118514727,2016,7,cross-genre,Uni.
the railway man,en,9.582,6.9,408,2014-04-11,18000000,23910210,2014,4,cross-genre,Wein.
the raven,en,0.6,5.9,5,2012-04-27,26000000,30601801,2012,4,cross-genre,Rela.
the reluctant fundamentalist,en,7.46,6.7,120,2013-04-26,15000000,528731,2013,4,cross-genre,IFC
the revenant,en,19.41,7.4,11064,2015-12-25,135000000,532938302,2015,12,cross-genre,Fox
the rite,en,9.676,5.9,994,2011-01-28,37000000,97143987,2011,1,cross-genre,WB (NL)
the roommate,en,8.134,5.4,406,2011-02-04,16000000,52545707,2011,2,cross-genre,SGem
the rover,en,13.528,6.2,435,2014-06-13,8500000,3180252,2014,6,cross-genre,A24
the rum diary,en,12.011,5.7,652,2011-10-28,45000000,21544732,2011,10,cross-genre,FD
the runaways,en,8.19,6.4,448,2010-03-19,9500000,5278632,2010,3,cross-genre,App.
the sapphires,en,6.16,6.7,97,2013-03-22,9000000,20395040,2013,3,cross-genre,Wein.
the second best exotic marigold hotel,en,7.731,6.4,420,2015-03-06,10000000,90384306,2015,3,cross-genre,FoxS
the secret life of pets,en,9.909,6.1,5374,2016-07-08,75000000,886750534,2016,7,cross-genre,Uni.
the secret life of walter mitty,en,10.743,7.1,4859,2013-12-25,91000000,187861183,2013,12,cross-genre,Fox
the sessions,en,6.46,6.9,296,2012-10-19,1000000,11495204,2012,10,cross-genre,FoxS
the shallows,en,14.091,6.3,3037,2016-06-24,13000000,118763442,2016,6,cross-genre,Sony
the shape of water,en,22.025,7.2,7224,2017-12-01,19500000,195790794,2017,12,cross-genre,FoxS
the sisters brothers,en,13.738,7.0,590,2018-09-21,38000000,13143056,2018,9,cross-genre,Annapurna
the sitter,en,11.571,5.4,472,2011-12-09,25000000,38749404,2011,12,comedy,Fox
the skeleton twins,en,10.341,6.7,394,2014-09-12,1000000,5797192,2014,9,cross-genre,RAtt.
the smurfs,en,16.533,5.6,2112,2011-07-29,110000000,563749323,2011,7,cross-genre,Sony
the smurfs 2,en,12.941,5.7,1200,2013-07-31,110000000,348547523,2013,7,cross-genre,Sony
the snowman,en,14.581,5.1,1225,2017-10-20,35000000,43226146,2017,10,cross-genre,Uni.
the social network,en,15.889,7.2,6116,2010-10-01,40000000,224922135,2010,10,cross-genre,Sony
the son of no one,en,7.586,5.1,156,2011-11-04,15000000,1148578,2011,11,cross-genre,Anch.
the sorcerer's apprentice,en,14.463,5.9,2879,2010-07-14,160000000,217986320,2010,7,cross-genre,BV
the space between us,en,14.437,7.1,1455,2017-02-03,30000000,16481405,2017,2,cross-genre,STX
the spectacular now,en,13.679,6.6,1801,2013-08-02,2500000,6916951,2013,8,cross-genre,A24
the spongebob movie: sponge out of water,en,13.815,5.7,1165,2015-02-06,74000000,311013181,2015,2,cross-genre,Par.
the spy next door,en,10.746,5.7,650,2010-01-15,28000000,46752858,2010,1,cross-genre,LGF
the square,ar,5.596,7.8,84,2010-04-09,1900000,740932,2010,4,cross-genre,Magn.
the star,en,14.53,5.4,233,2017-11-17,20000000,62758010,2017,11,cross-genre,Sony
the sweeney,en,6.4,5.9,142,2013-03-01,4500000,8000366,2013,3,cross-genre,EOne
the switch,en,7.745,6.1,1008,2010-08-20,19000000,49858465,2010,8,cross-genre,Mira.
the tempest,en,6.3,5.8,52,2010-12-10,20000000,277943,2010,12,cross-genre,Mira.
the theory of everything,en,13.866,7.9,6412,2014-11-07,15000000,123327692,2014,11,cross-genre,Focus
the three stooges,en,9.358,5.1,215,2012-04-13,30000000,54052249,2012,4,cross-genre,Fox
the tourist,en,10.307,6.1,3133,2010-12-10,100000000,278731369,2010,12,cross-genre,Sony
the town,en,13.476,7.1,2386,2010-09-17,37000000,152566881,2010,9,cross-genre,WB
the transporter refueled,en,13.428,5.4,836,2015-09-04,22000000,69698495,2015,9,cross-genre,EC
the tree of life,en,11.569,6.6,1730,2011-05-27,35000000,61721826,2011,5,cross-genre,FoxS
the twilight saga: eclipse,en,20.34,6.0,4909,2010-06-30,68000000,706102828,2010,6,cross-genre,Sum.
the vatican tapes,en,7.841,4.6,365,2015-07-24,13000000,14929184,2015,7,cross-genre,LGF
the visit,en,10.196,6.2,2634,2015-09-11,5000000,98677816,2015,9,cross-genre,Uni.
the vow,en,13.046,7.1,2409,2012-02-10,30000000,197618160,2012,2,cross-genre,SGem
the walk,en,11.754,6.9,1906,2015-09-30,35000000,61492104,2015,9,cross-genre,TriS
the wall,de,5.577,6.7,61,2017-05-12,3000000,4495262,2017,5,documentary,RAtt.
the warrior's way,en,8.259,6.1,203,2010-12-03,42000000,8514325,2010,12,cross-genre,Rela.
the watch,en,10.228,5.4,1356,2012-07-27,55000000,67130045,2012,7,cross-genre,Fox
the water diviner,en,11.479,6.8,682,2015-04-24,22500000,31054727,2015,4,cross-genre,WB
the wedding ringer,en,15.876,6.5,961,2015-01-16,23000000,80171596,2015,1,comedy,SGem
the witch,en,13.493,6.6,2931,2016-02-19,3500000,40454520,2016,2,cross-genre,A24
the wolf of wall street,en,29.518,7.9,12411,2013-12-25,100000000,389870414,2013,12,cross-genre,Par.
the wolfman,en,14.03,5.7,1009,2010-02-12,150000000,142634358,2010,2,cross-genre,Uni.
the wolverine,en,4.323,6.3,6176,2013-07-26,115000000,416456852,2013,7,cross-genre,Fox
the woman in black,en,12.781,6.1,2122,2012-02-03,15000000,128955898,2012,2,cross-genre,CBS
the words,en,7.201,6.6,628,2012-09-07,6000000,16369708,2012,9,cross-genre,CBS
the world's end,en,12.719,6.7,2990,2013-08-23,20000000,47508505,2013,8,cross-genre,Focus
the young messiah,en,5.531,6.1,50,2016-03-11,16800000,7313697,2016,3,cross-genre,Focus
there be dragons,en,7.058,5.1,93,2011-05-06,36000000,4020990,2011,5,cross-genre,Gold.
they will have to kill us first,fr,0.6,5.0,1,2016-03-04,600000,7943,2016,3,documentary,BBC
think like a man,en,5.905,6.9,438,2012-04-20,12000000,113373764,2012,4,cross-genre,SGem
think like a man too,en,8.25,6.3,319,2014-06-20,24000000,70027933,2014,6,cross-genre,SGem
this is 40,en,8.132,5.7,1296,2012-12-21,35000000,90221182,2012,12,cross-genre,Uni.
this is the end,en,10.635,6.2,3789,2013-06-12,32000000,126539117,2013,6,cross-genre,Sony
this is where i leave you,en,9.681,6.6,695,2014-09-19,20000000,41296320,2014,9,cross-genre,WB
this means war,en,12.017,6.0,2096,2012-02-17,65000000,156974557,2012,2,cross-genre,Fox
thor,en,38.068,6.7,12764,2011-05-06,150000000,449326618,2011,5,cross-genre,Par.
thor: ragnarok,en,43.45,7.5,11380,2017-11-03,180000000,846980024,2017,11,cross-genre,BV
thor: the dark world,en,31.014,6.7,10171,2013-11-08,150000000,644602516,2013,11,cross-genre,BV
"three billboards outside ebbing, missouri",en,17.808,8.2,5432,2017-11-10,12000000,160191915,2017,11,cross-genre,FoxS
tiny furniture,en,6.695,5.9,82,2010-11-12,50000,424149,2010,11,cross-genre,IFC
to rome with love,en,9.563,5.7,1097,2012-06-22,21500000,74326015,2012,6,cross-genre,SPC
tomb raider,en,24.968,6.3,4310,2018-03-16,90000000,273477501,2018,3,cross-genre,WB
tomorrowland,en,20.136,6.2,4610,2015-05-22,170000000,206627518,2015,5,cross-genre,BV
tooth fairy,en,12.65,5.3,1058,2010-01-22,48000000,112610386,2010,1,cross-genre,Fox
top five,en,6.322,6.3,281,2014-12-12,12000000,26001741,2014,12,cross-genre,Par.
tower heist,en,12.213,6.0,1592,2011-11-04,85000000,150422946,2011,11,cross-genre,Uni.
toy story 3,en,24.445,7.7,8340,2010-06-18,200000000,1068879522,2010,6,cross-genre,BV
trainwreck,en,18.423,5.8,1731,2015-07-17,35000000,141123897,2015,7,cross-genre,Uni.
trance,en,9.571,6.6,1348,2013-04-05,16000000,22594052,2013,4,horror,FoxS
transcendence,en,0.6,5.5,2,2014-04-18,100000000,103039258,2014,4,drama,WB
transformers: age of extinction,en,20.961,5.8,4805,2014-06-27,210000000,1104039076,2014,6,cross-genre,Par.
transformers: dark of the moon,en,5.339,6.1,4961,2011-06-29,195000000,1123790543,2011,6,cross-genre,P/DW
transformers: the last knight,en,24.258,6.0,3255,2017-06-21,217000000,602893340,2017,6,cross-genre,Par.
trash,es,0.6,3.0,3,2015-10-09,12000000,6553186,2015,10,thriller,FCW
triple 9,en,13.334,5.8,1258,2016-02-26,20000000,25943792,2016,2,cross-genre,ORF
trolls,en,16.286,6.6,1880,2016-11-04,125000000,344150134,2016,11,cross-genre,Fox
trouble with the curve,en,8.548,6.7,613,2012-09-21,60000000,47818913,2012,9,cross-genre,WB
true grit,en,13.118,7.2,2816,2010-12-22,35000000,252276928,2010,12,cross-genre,Par.
truth or dare,en,8.102,5.6,194,2018-04-13,3500000,95127344,2018,4,cross-genre,Uni.
tulip fever,en,9.89,6.4,307,2017-09-01,25000000,6792768,2017,9,cross-genre,Wein.
turbo,en,14.876,6.1,1758,2013-07-17,135000000,286896578,2013,7,cross-genre,Fox
tusk,en,8.655,5.3,601,2014-09-19,3000000,1887554,2014,9,cross-genre,A24
two night stand,en,9.191,6.5,1241,2014-09-26,1600000,868081,2014,9,cross-genre,EOne
unbroken,en,12.354,7.4,2240,2014-12-25,65000000,163527824,2014,12,drama,Uni.
uncle drew,en,10.836,6.5,220,2018-06-29,18000000,46527161,2018,6,cross-genre,LG/S
underworld: blood wars,en,18.976,5.5,2318,2017-01-06,35000000,81209222,2017,1,cross-genre,SGem
unfinished business,en,8.516,5.2,472,2015-03-06,35000000,13214051,2015,3,cross-genre,Fox
unfriended,en,8.12,5.4,2019,2015-04-17,1000000,64364198,2015,4,cross-genre,Uni.
unfriended: dark web,en,17.861,6.1,365,2018-07-20,1000000,16434588,2018,7,cross-genre,BH Tilt
unknown,en,12.08,6.6,2043,2011-02-18,40000000,136123083,2011,2,cross-genre,WB
unsane,en,16.316,6.2,667,2018-03-23,1500000,14244931,2018,3,cross-genre,BST
unstoppable,en,14.01,6.4,1913,2010-11-12,95000000,165720921,2010,11,cross-genre,Fox
upgrade,en,21.413,7.4,1326,2018-06-01,3000000,16553285,2018,6,cross-genre,BH Tilt
upside down,en,12.454,6.2,1645,2013-03-15,50000000,26387039,2013,3,cross-genre,MNE
vacation,hu,0.6,7.0,1,2015-07-29,31000000,102306500,2015,7,cross-genre,WB (NL)
valentine's day,en,11.187,5.8,1907,2010-02-12,52000000,217569328,2010,2,cross-genre,WB (NL)
valerian and the city of a thousand planets,en,24.003,6.6,4149,2017-07-21,180000000,215098356,2017,7,cross-genre,STX
vampires suck,en,8.992,4.1,658,2010-08-18,20000000,81424988,2010,8,comedy,Fox
veronica mars,en,7.821,6.7,699,2014-03-14,6000000,3485383,2014,3,cross-genre,WB
vice,en,14.641,4.3,312,2018-12-25,60000000,70883171,2018,12,cross-genre,Annapurna
victor frankenstein,en,9.061,5.8,1200,2015-11-25,40000000,31124367,2015,11,cross-genre,Fox
wanderlust,en,9.896,5.4,693,2012-02-24,32500000,24159934,2012,2,fantasy,Uni.
war dogs,en,10.654,6.8,2387,2016-08-19,50000000,86234503,2016,8,cross-genre,WB
war for the planet of the apes,en,23.445,7.0,5235,2017-07-14,152000000,489592267,2017,7,cross-genre,Fox
war horse,en,10.378,7.2,1849,2011-12-25,70000000,156815529,2011,12,cross-genre,BV
war room,en,7.419,7.5,171,2015-08-28,3000000,73975239,2015,8,drama,TriS
warcraft,en,21.464,6.3,4071,2016-06-10,160000000,425522281,2016,6,cross-genre,Uni.
warm bodies,en,13.259,6.3,4109,2013-02-01,30000000,115121608,2013,2,cross-genre,LG/S
warrior,en,15.478,7.8,2189,2011-09-09,25000000,24215385,2011,9,cross-genre,LGF
water for elephants,en,6.209,6.9,1627,2011-04-22,38000000,116809717,2011,4,cross-genre,Fox
we are your friends,en,10.809,6.3,1241,2015-08-28,2000000,10153415,2015,8,cross-genre,WB
we bought a zoo,en,9.931,6.7,1523,2011-12-23,50000000,118729073,2011,12,cross-genre,Fox
we need to talk about kevin,en,11.964,7.6,1306,2012-01-13,7000000,10765283,2012,1,cross-genre,Osci.
we're the millers,en,14.746,6.8,5231,2013-08-07,37000000,267816276,2013,8,cross-genre,WB (NL)
welcome to marwen,en,22.032,6.6,286,2018-12-21,45000000,12874922,2018,12,cross-genre,Uni.
welcome to the rileys,en,8.348,6.5,241,2010-10-29,10000000,355919,2010,10,drama,Gold.
what to expect when you're expecting,en,12.27,5.9,1130,2012-05-18,37500000,88473016,2012,5,cross-genre,LGF
what's your number?,en,10.391,6.4,1271,2011-09-30,20000000,30163785,2011,9,cross-genre,Fox
when the bough breaks,en,8.062,5.3,150,2016-09-09,10000000,30768449,2016,9,cross-genre,SGem
when the game stands tall,en,6.08,6.6,185,2014-08-22,15000000,30138912,2014,8,cross-genre,TriS
while we're young,en,8.022,5.9,609,2015-03-27,10000000,17503828,2015,3,cross-genre,A24
whiplash,en,6.298,7.9,94,2014-10-10,3300000,38969037,2014,10,cross-genre,SPC
whiskey tango foxtrot,en,8.564,6.2,596,2016-03-04,35000000,25350747,2016,3,cross-genre,Par.
white boy rick,en,13.794,6.3,277,2018-09-14,30000000,25947983,2018,9,cross-genre,Studio 8
white house down,en,13.026,6.4,2817,2013-06-28,150000000,205440387,2013,6,cross-genre,Sony
why him?,en,15.044,6.2,2494,2016-12-23,38000000,117425156,2016,12,comedy,Fox
widows,en,20.628,6.5,941,2018-11-16,40000000,73866088,2018,11,cross-genre,Fox
wild target,en,9.355,6.4,356,2010-10-29,8000000,5314194,2010,10,cross-genre,Free
winchester,en,12.44,5.7,884,2018-02-02,3500000,44378040,2018,2,cross-genre,LGF
winnie the pooh,en,11.147,6.9,444,2011-07-15,30000000,50145607,2011,7,cross-genre,BV
winter's bone,en,9.824,6.9,931,2010-06-11,2000000,16131551,2010,6,cross-genre,RAtt.
wish i was here,en,7.845,6.6,440,2014-07-18,6000000,6591365,2014,7,cross-genre,Focus
wish upon,en,10.219,5.4,690,2017-07-14,12000000,23477345,2017,7,cross-genre,BG
wolves,en,8.627,5.8,151,2014-11-14,18000000,94953,2014,11,cross-genre,KE
woman in gold,en,7.76,7.4,787,2015-04-01,11000000,58586407,2015,4,cross-genre,Wein.
won't back down,en,6.14,6.3,64,2012-09-28,19000000,5745503,2012,9,drama,Fox
wonder,en,20.101,8.2,3959,2017-11-17,20000000,304604712,2017,11,cross-genre,LGF
wonder woman,en,2.841,5.9,34,2017-06-02,150000000,821133378,2017,6,cross-genre,WB
woodlawn,en,5.575,7.0,79,2015-10-16,13000000,14403703,2015,10,cross-genre,PFR
world war z,en,14.582,6.7,9132,2013-06-21,190000000,531514650,2013,6,cross-genre,Par.
wrath of the titans,en,14.991,5.6,2442,2012-03-30,150000000,305270083,2012,3,cross-genre,WB
wreck-it ralph,en,22.967,7.3,7780,2012-11-02,165000000,496511521,2012,11,cross-genre,BV
x-men: apocalypse,en,39.293,6.5,8348,2016-05-27,178000000,542537546,2016,5,cross-genre,Fox
x-men: days of future past,en,41.867,7.5,10062,2014-05-23,200000000,747862775,2014,5,cross-genre,Fox
x-men: first class,en,1.447,7.2,8211,2011-06-03,160000000,355408305,2011,6,cross-genre,Fox
yogi bear,en,9.096,5.3,387,2010-12-17,80000000,204774690,2010,12,cross-genre,WB
you again,en,10.208,6.2,734,2010-09-24,20000000,32838945,2010,9,cross-genre,BV
you will meet a tall dark stranger,en,6.209,5.8,431,2010-09-22,15000000,34247816,2010,9,cross-genre,SPC
you're next,en,11.45,6.6,1258,2013-08-23,1000000,26887177,2013,8,cross-genre,LGF
young adult,en,8.335,5.7,603,2011-12-09,12000000,22750356,2011,12,cross-genre,Par.
your highness,en,0.6,3.0,4,2011-04-08,50000000,26121638,2011,4,cross-genre,Uni.
your sister's sister,en,7.115,6.6,192,2012-06-15,120000,3090593,2012,6,cross-genre,IFC
youth,he,1.008,5.3,9,2015-12-04,13000000,24001573,2015,12,cross-genre,FoxS
zero dark thirty,en,14.239,6.9,2553,2012-12-19,52500000,134612435,2012,12,cross-genre,Sony
zookeeper,en,10.764,5.3,886,2011-07-08,80000000,170805525,2011,7,cross-genre,Sony
zoolander 2,en,12.997,4.7,1374,2016-02-12,50000000,55348693,2016,2,comedy,Par.
zootopia,en,27.549,7.7,9977,2016-03-04,150000000,1019429616,2016,3,cross-genre,BV
